"filename", "language", "JavaScript", "JavaScript React", "Markdown", "XML", "CSS", "JSON", "HTML", "SQL", "comment", "blank", "total"
"d:\Dev\Beer-Bulletin\beer-bulletin\components\bottomNav\index.jsx", "JavaScript React", 0, 142, 0, 0, 0, 0, 0, 0, 6, 18, 166
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\CreatePostButton.jsx", "JavaScript React", 0, 28, 0, 0, 0, 0, 0, 0, 1, 4, 33
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignIn.jsx", "JavaScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignOut.jsx", "JavaScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SignUp.jsx", "JavaScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Dev\Beer-Bulletin\beer-bulletin\components\buttons\SliderBtn.jsx", "JavaScript React", 0, 80, 0, 0, 0, 0, 0, 0, 0, 7, 87
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\CreatePostForm.jsx", "JavaScript React", 0, 263, 0, 0, 0, 0, 0, 0, 22, 18, 303
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\LoginForm.jsx", "JavaScript React", 0, 245, 0, 0, 0, 0, 0, 0, 8, 18, 271
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\RegisterForm.jsx", "JavaScript React", 0, 306, 0, 0, 0, 0, 0, 0, 5, 24, 335
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\UserSettingForm.jsx", "JavaScript React", 0, 419, 0, 0, 0, 0, 0, 0, 5, 21, 445
"d:\Dev\Beer-Bulletin\beer-bulletin\components\forms\offerForm.jsx", "JavaScript React", 0, 282, 0, 0, 0, 0, 0, 0, 2, 21, 305
"d:\Dev\Beer-Bulletin\beer-bulletin\components\glassCard.jsx", "JavaScript React", 0, 23, 0, 0, 0, 0, 0, 0, 1, 5, 29
"d:\Dev\Beer-Bulletin\beer-bulletin\components\header.jsx", "JavaScript React", 0, 46, 0, 0, 0, 0, 0, 0, 1, 6, 53
"d:\Dev\Beer-Bulletin\beer-bulletin\components\modals\SearchBulletinsFilter.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\Beer-Bulletin\beer-bulletin\components\search-bulletins\bulletinCard.jsx", "JavaScript React", 0, 78, 0, 0, 0, 0, 0, 0, 2, 10, 90
"d:\Dev\Beer-Bulletin\beer-bulletin\components\search-bulletins\singleBulletin.jsx", "JavaScript React", 0, 57, 0, 0, 0, 0, 0, 0, 0, 7, 64
"d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\bulletin-card.jsx", "JavaScript React", 0, 192, 0, 0, 0, 0, 0, 0, 2, 11, 205
"d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\offer-card.jsx", "JavaScript React", 0, 202, 0, 0, 0, 0, 0, 0, 3, 12, 217
"d:\Dev\Beer-Bulletin\beer-bulletin\components\users-bulletins\single-bulletin.jsx", "JavaScript React", 0, 126, 0, 0, 0, 0, 0, 0, 5, 11, 142
"d:\Dev\Beer-Bulletin\beer-bulletin\db\config\config.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\Dev\Beer-Bulletin\beer-bulletin\db\config\connection.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200602192713-create-posts.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200603040826-create-users.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200603174724-add-posts-associate.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200608061846-create-jobs.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Dev\Beer-Bulletin\beer-bulletin\db\migrations\20200609023118-add-jobs-associate.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Dev\Beer-Bulletin\beer-bulletin\db\models\Offer.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 4, 5, 64
"d:\Dev\Beer-Bulletin\beer-bulletin\db\models\Trade.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 3, 4, 51
"d:\Dev\Beer-Bulletin\beer-bulletin\db\models\User.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 4, 75
"d:\Dev\Beer-Bulletin\beer-bulletin\db\models\index.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 11, 51
"d:\Dev\Beer-Bulletin\beer-bulletin\db\mongoDB\dbConnect.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 5, 9, 46
